name,JavaScript,Python,SQL,TypeScript,Java,C#,C++
dev_00053,1,0,0,0,0,1,0
dev_00054,0,1,0,0,0,0,0
dev_00055,1,1,1,0,0,0,1
dev_00056,0,1,1,0,1,1,0
dev_00057,1,0,1,1,0,0,1
dev_00058,1,0,1,1,0,1,0
dev_00059,1,0,0,0,0,0,0
dev_00060,0,0,0,0,1,0,0
dev_00061,0,0,1,0,0,0,1
dev_00062,0,1,1,0,1,1,1
dev_00063,1,0,1,1,0,1,0
dev_00064,1,1,1,1,1,0,0
dev_00065,1,0,1,0,0,1,0
dev_00066,0,0,1,0,0,1,0
dev_00067,1,1,1,1,1,0,1
dev_00068,0,1,0,0,0,0,1
dev_00069,1,1,1,1,1,0,1
dev_00070,1,0,0,0,0,0,0
dev_00071,1,1,0,0,1,0,0
dev_00072,1,1,1,1,0,0,1
dev_00073,1,1,1,0,1,0,0
dev_00074,1,0,0,1,0,1,0
dev_00075,0,0,0,0,0,1,0
dev_00076,1,1,0,1,0,0,0
dev_00077,0,1,0,0,0,0,0
dev_00078,1,1,0,0,0,0,1
dev_00079,1,0,1,0,0,1,1
dev_00080,0,0,1,0,0,0,0
dev_00081,1,1,1,1,0,1,0
dev_00082,0,1,0,0,0,0,0
dev_00083,1,0,1,0,0,1,0
dev_00084,1,0,1,0,1,0,1
dev_00085,0,1,0,0,0,0,0
dev_00086,1,1,1,1,0,1,1
dev_00087,1,1,1,0,1,0,1
dev_00088,1,0,0,0,0,0,0
dev_00089,1,0,0,0,0,1,0
dev_00090,1,0,1,0,0,1,0
dev_00091,1,0,0,0,0,1,0
dev_00092,0,1,0,0,1,0,1
dev_00093,1,0,1,0,0,1,0
dev_00094,1,1,1,1,1,1,1
dev_00095,0,0,1,0,0,0,0
dev_00096,1,0,1,1,0,1,0
dev_00097,0,1,1,0,0,0,0
dev_00098,0,0,1,0,0,1,1
dev_00099,1,0,1,0,1,1,0
dev_00100,0,1,0,0,0,0,0
dev_00101,1,1,1,1,1,0,1
dev_00102,0,0,0,0,0,1,0
dev_00103,0,0,1,0,0,1,0
dev_00104,1,0,0,1,1,0,0
dev_00105,0,1,1,0,1,1,0
dev_00106,1,1,0,0,1,1,0
dev_00107,1,0,0,1,0,0,0
dev_00108,1,1,1,1,1,1,1
dev_00109,1,0,0,1,0,0,0
dev_00110,0,0,0,0,0,1,0
dev_00111,0,1,0,0,0,0,1
dev_00112,1,1,0,1,0,0,0
dev_00113,0,1,1,0,0,1,0
dev_00114,1,0,1,1,0,0,0
dev_00115,1,0,1,0,0,0,0
dev_00116,1,1,1,1,0,1,0
dev_00117,1,1,0,1,1,0,0
dev_00118,1,1,0,1,1,0,0
dev_00119,0,1,0,1,0,0,0
dev_00120,0,1,0,0,0,0,0
dev_00121,0,1,1,0,1,1,1
dev_00122,1,0,1,0,0,1,1
dev_00123,1,0,1,0,0,1,0
dev_00124,0,0,0,0,0,0,1
dev_00125,1,0,0,1,0,0,0
dev_00126,1,0,1,0,0,0,0
dev_00127,1,1,1,0,1,1,0
dev_00128,0,1,0,0,0,1,0
dev_00129,1,1,1,1,1,1,1
dev_00130,1,1,1,0,0,0,0
dev_00131,1,0,0,1,1,0,0
dev_00132,1,0,0,1,0,1,1
dev_00133,1,1,1,1,1,0,0
dev_00134,1,1,1,0,0,0,0
dev_00135,1,0,1,1,1,0,0
dev_00136,0,0,0,0,1,0,1
dev_00137,1,1,0,1,1,0,0
dev_00138,1,0,1,1,0,1,0
dev_00139,0,1,0,0,0,0,0
dev_00140,0,0,1,0,0,0,0
dev_00141,1,1,1,0,1,0,0
dev_00142,1,0,1,1,0,1,0
dev_00143,1,1,1,1,0,0,0
dev_00144,1,0,1,1,0,1,0
dev_00145,0,1,1,0,0,1,0
dev_00146,0,1,0,1,0,0,0
dev_00147,1,1,1,1,0,0,1
dev_00148,1,1,1,1,1,0,0
dev_00149,1,0,1,1,0,0,0
dev_00150,1,0,1,0,0,1,0
dev_00151,1,0,1,1,0,0,0
dev_00152,1,0,0,1,0,1,1
dev_00153,1,0,1,1,0,1,1
dev_00154,0,1,0,1,0,0,0
dev_00155,0,0,0,1,1,0,0
dev_00156,0,0,0,0,1,0,0
dev_00157,1,0,1,1,0,1,0
dev_00158,1,1,1,1,1,1,1
dev_00159,1,1,1,1,0,0,0
dev_00160,1,1,1,0,0,0,1
dev_00161,0,1,0,0,0,0,0
dev_00162,1,1,1,1,1,0,1
dev_00163,0,1,1,0,0,1,0
dev_00164,1,0,0,1,0,0,0
dev_00165,1,0,0,0,0,0,0
dev_00166,1,1,1,1,1,0,0
dev_00167,1,0,1,0,1,1,0
dev_00168,1,0,1,1,0,1,0
dev_00169,0,1,1,0,0,0,1
dev_00170,0,1,0,0,0,1,0
dev_00171,0,1,1,1,0,0,0
dev_00172,1,1,1,1,1,0,1
dev_00173,1,0,1,0,0,1,0
dev_00174,1,0,1,1,0,1,0
dev_00175,1,1,1,1,0,0,0
dev_00176,1,0,1,1,0,0,0
dev_00177,1,1,1,0,0,0,0
dev_00178,1,1,1,1,0,1,1
dev_00179,1,0,1,1,0,0,0
dev_00180,1,0,1,1,0,1,0
dev_00181,0,0,0,0,0,1,0
dev_00182,1,0,1,0,1,0,0
dev_00183,1,1,1,1,1,1,1
dev_00184,0,1,0,0,0,0,1
dev_00185,1,0,1,1,1,0,0
dev_00186,1,1,1,0,1,0,1
dev_00187,0,1,0,0,0,1,1
dev_00188,1,0,1,0,1,0,0
dev_00189,1,0,1,0,1,0,0
dev_00190,0,1,0,0,0,0,0
dev_00191,1,1,0,1,1,0,1
dev_00192,1,0,0,0,1,0,0
dev_00193,1,1,1,1,0,0,0
dev_00194,1,0,1,1,0,1,0
dev_00195,0,0,1,0,0,0,0
dev_00196,1,0,0,1,0,0,0
dev_00197,1,1,1,1,0,0,0
dev_00198,1,1,0,0,0,0,0
dev_00199,1,1,1,0,0,1,0
dev_00200,1,1,0,0,0,0,0
dev_00201,1,0,1,0,0,0,0
dev_00202,0,1,1,0,0,0,1
dev_00203,1,0,1,1,0,1,0
dev_00204,1,0,0,1,0,1,0
dev_00205,1,0,1,1,0,1,1
dev_00206,1,0,0,0,0,0,0
dev_00207,1,0,1,1,0,1,0
dev_00208,0,0,0,0,0,1,0
dev_00209,1,1,1,1,1,0,1
dev_00210,0,0,1,0,1,0,1
dev_00211,1,0,1,1,0,1,0
dev_00212,1,1,1,0,0,0,0
dev_00213,0,0,1,0,1,0,0
dev_00214,0,0,0,1,0,0,0
dev_00215,0,0,0,0,0,1,0
dev_00216,1,1,1,0,1,0,0
dev_00217,0,1,0,0,0,1,1
dev_00218,1,0,1,1,0,0,0
dev_00219,0,1,1,0,0,0,1
dev_00220,0,1,0,0,0,0,0
dev_00221,0,1,1,0,1,0,1
dev_00222,1,0,0,0,0,0,0
dev_00223,1,0,1,1,1,0,1
dev_00224,0,1,0,0,1,0,1
dev_00225,1,0,1,1,0,1,0
dev_00226,1,0,1,0,0,0,0
dev_00227,0,1,1,0,1,0,1
dev_00228,1,0,0,0,0,0,0
dev_00229,1,0,1,0,0,0,0
dev_00230,1,1,1,1,1,1,1
dev_00231,1,0,1,0,1,0,0
dev_00232,0,1,0,0,0,0,1
dev_00233,0,0,0,0,0,1,0
dev_00234,0,0,0,0,1,0,0
dev_00235,1,1,1,1,0,0,1
dev_00236,1,1,1,0,1,1,0
dev_00237,0,1,0,0,0,0,1
dev_00238,1,1,1,0,1,0,1
dev_00239,0,1,0,1,0,0,1
dev_00240,1,1,0,1,1,0,0
dev_00241,1,0,1,1,1,1,0
dev_00242,1,0,1,1,1,0,0
dev_00243,0,1,1,0,1,0,0
dev_00244,1,1,1,1,1,1,1
dev_00245,0,1,0,0,0,1,1
dev_00246,1,1,1,1,0,0,0
dev_00247,1,0,0,1,0,0,0
dev_00248,1,1,1,1,0,1,0
dev_00249,1,0,1,0,0,0,0
dev_00250,1,0,1,1,1,0,0
dev_00251,0,1,0,0,0,1,0
dev_00252,1,0,1,0,0,1,0
dev_00253,1,1,1,0,0,0,0
dev_00254,1,1,0,0,0,1,1
dev_00255,0,0,1,1,0,0,0
dev_00256,1,1,0,0,1,0,0
dev_00257,1,0,1,1,0,0,0
dev_00258,0,1,1,0,1,1,1
dev_00259,1,1,1,1,0,0,0
dev_00260,1,0,1,1,0,1,0
dev_00261,1,1,0,0,1,1,1
dev_00262,1,1,1,0,1,1,1
dev_00263,1,0,0,1,1,0,0
dev_00264,1,0,1,0,1,1,0
dev_00265,1,1,1,0,0,1,0
dev_00266,1,0,0,0,1,0,0
dev_00267,1,1,0,1,1,0,1
dev_00268,1,1,1,1,1,1,0
dev_00269,1,1,1,1,0,0,0
dev_00270,1,0,0,0,0,0,0
dev_00271,0,0,0,0,1,0,0
dev_00272,1,1,1,0,1,0,1
dev_00273,1,1,0,0,1,1,0
dev_00274,0,1,0,1,0,0,1
dev_00275,1,1,1,1,0,0,0
dev_00276,1,0,0,0,0,0,0
dev_00277,1,0,0,0,0,0,0
dev_00278,1,1,0,0,1,0,0
dev_00279,1,1,0,0,0,0,0
dev_00280,0,0,0,0,0,0,1
dev_00281,0,1,0,0,1,0,0
dev_00282,1,1,1,0,0,1,0
dev_00283,1,0,1,0,0,0,1
dev_00284,1,1,1,1,0,0,0
dev_00285,0,0,0,0,1,0,0
dev_00286,0,0,0,0,0,0,1
dev_00287,1,0,0,0,1,0,0
dev_00288,0,1,1,0,1,0,0
dev_00289,0,1,0,0,0,0,0
dev_00290,0,1,0,0,1,0,1
dev_00291,1,0,1,0,0,0,0
dev_00292,1,1,1,0,1,0,0
dev_00293,1,1,1,0,0,0,1
dev_00294,1,0,1,1,0,0,0
dev_00295,1,0,1,1,0,0,0
dev_00296,0,0,0,0,0,0,1
dev_00297,1,0,1,0,0,0,0
dev_00298,1,1,0,1,0,0,0
dev_00299,0,0,0,1,1,0,0
dev_00300,1,0,0,1,1,0,0
dev_00301,1,1,0,1,0,0,0
dev_00302,1,1,1,0,0,0,0
dev_00303,1,0,1,1,0,0,0
dev_00304,1,0,0,1,0,0,0
dev_00305,1,0,1,1,0,0,0
dev_00306,1,0,0,0,0,0,0
dev_00307,1,0,1,0,1,0,0
dev_00308,0,1,1,0,1,1,0
dev_00309,1,1,0,1,0,0,1
dev_00310,1,0,0,1,0,0,1
dev_00311,1,0,1,1,0,1,0
dev_00312,0,1,0,0,1,0,1
dev_00313,0,0,1,0,0,1,0
dev_00314,0,0,0,0,0,0,1
dev_00315,0,1,1,0,0,0,1
dev_00316,1,1,1,0,0,1,0
dev_00317,1,1,1,0,1,0,0
dev_00318,1,0,1,0,0,0,0
dev_00319,1,1,0,1,0,0,0
dev_00320,0,1,0,0,0,0,1
dev_00321,1,1,1,1,0,0,0
dev_00322,1,1,1,1,1,0,1
dev_00323,0,0,1,0,0,0,0
dev_00324,0,1,1,0,1,1,0
dev_00325,0,1,1,0,1,0,0
dev_00326,1,1,1,0,1,1,0
dev_00327,0,0,1,0,1,0,0
dev_00328,0,0,0,0,0,0,1
dev_00329,0,1,1,0,0,0,0
dev_00330,1,0,1,0,0,0,0
dev_00331,1,0,0,1,0,0,0
dev_00332,1,1,1,1,0,1,1
dev_00333,1,1,0,0,1,0,0
dev_00334,1,1,1,1,1,0,0
dev_00335,1,1,0,0,0,1,0
dev_00336,1,1,0,1,0,1,1
dev_00337,1,1,1,0,1,0,1
dev_00338,1,0,0,0,0,0,1
dev_00339,1,1,1,1,1,1,1
dev_00340,0,0,0,0,0,0,1
dev_00341,0,1,0,1,1,0,1
dev_00342,1,1,1,0,0,0,0
dev_00343,1,0,0,0,0,1,0
dev_00344,1,0,1,0,0,0,0
dev_00345,1,1,1,0,1,1,1
dev_00346,1,0,0,1,0,0,0
dev_00347,1,0,1,0,0,0,0
dev_00348,1,0,0,1,1,0,0
dev_00349,0,1,0,0,0,0,0
dev_00350,1,0,0,1,0,0,0
dev_00351,1,0,0,0,1,0,0
dev_00352,0,0,0,1,0,1,0
dev_00353,1,0,0,1,0,0,0
dev_00354,0,1,1,0,0,0,1
dev_00355,1,1,0,0,1,0,1
dev_00356,1,0,1,1,1,0,0
dev_00357,1,0,0,0,0,1,0
dev_00358,0,0,1,0,0,0,1
dev_00359,1,1,1,1,0,0,0
dev_00360,1,0,0,0,0,0,0
dev_00361,0,0,1,1,0,0,0
dev_00362,0,0,1,0,1,0,0
dev_00363,1,1,1,1,0,1,0
dev_00364,0,1,0,0,0,0,0
dev_00365,0,1,1,1,1,0,0
dev_00366,1,0,0,0,1,1,0
dev_00367,1,0,0,1,0,0,0
dev_00368,1,1,1,1,0,0,0
dev_00369,1,0,0,1,0,0,0
dev_00370,0,0,1,0,0,0,0
dev_00371,1,1,0,1,1,1,0
dev_00372,0,0,1,0,1,1,1
dev_00373,1,0,0,1,0,0,0
dev_00374,0,1,1,0,1,0,0
dev_00375,1,1,1,0,1,1,1
dev_00376,1,1,0,0,1,0,0
dev_00377,1,0,1,1,0,1,0
dev_00378,1,0,1,0,1,1,1
dev_00379,1,0,0,1,0,0,1
dev_00380,0,0,0,0,1,0,0
dev_00381,0,0,1,0,0,0,0
dev_00382,0,1,0,0,0,0,0
dev_00383,1,0,0,0,0,0,0
dev_00384,1,1,1,0,0,1,0
dev_00385,1,1,1,1,0,0,1
dev_00386,1,1,1,1,1,0,1
dev_00387,0,1,0,0,0,0,1
dev_00388,0,1,1,0,0,0,0
dev_00389,1,1,0,1,1,1,1
dev_00390,1,1,1,0,1,1,1
dev_00391,1,1,1,1,0,0,0
dev_00392,1,0,0,0,1,0,0
dev_00393,1,0,0,0,1,0,1
dev_00394,1,1,0,0,1,0,0
dev_00395,1,0,0,1,0,0,0
dev_00396,0,0,0,0,0,0,1
dev_00397,1,1,1,1,1,0,0
dev_00398,1,0,1,1,0,1,0
dev_00399,0,1,0,0,1,0,0
dev_00400,1,0,0,0,0,0,0
dev_00401,0,0,0,0,1,0,0
dev_00402,1,1,0,1,0,1,0
dev_00403,1,0,0,1,0,0,0
dev_00404,0,0,0,0,0,0,1
dev_00405,1,0,1,0,1,0,0
dev_00406,0,1,0,0,0,0,0
dev_00407,1,0,1,1,0,0,0
dev_00408,1,0,0,0,0,0,0
dev_00409,1,0,1,0,0,1,1
dev_00410,1,0,1,1,0,1,0
dev_00411,1,0,0,0,0,1,0
dev_00412,0,1,0,1,0,0,1
dev_00413,1,0,1,1,1,0,0
dev_00414,1,1,0,0,0,0,1
dev_00415,1,1,0,0,0,0,0
dev_00416,1,0,0,0,0,1,0
dev_00417,0,1,1,0,1,0,0
dev_00418,1,1,0,0,1,1,0
dev_00419,0,1,1,1,0,1,0
dev_00420,1,0,1,0,1,0,0
dev_00421,1,1,0,0,0,0,0
dev_00422,1,1,1,1,0,0,0
dev_00423,1,1,1,0,0,1,0
dev_00424,1,0,0,1,1,0,0
dev_00425,1,0,1,1,0,1,0
dev_00426,1,1,0,0,0,0,0
dev_00427,1,1,1,1,1,1,1
dev_00428,1,1,1,1,0,1,0
dev_00429,1,0,1,0,1,0,0
dev_00430,1,0,1,0,0,1,0
dev_00431,1,0,1,1,0,0,0
dev_00432,0,0,0,0,0,0,1
dev_00433,0,0,1,1,1,0,0
dev_00434,1,1,0,0,0,0,0
dev_00435,1,0,0,1,0,1,0
dev_00436,0,0,0,0,0,1,1
dev_00437,1,1,1,0,0,0,0
dev_00438,1,0,1,1,0,1,1
dev_00439,0,1,0,0,0,0,0
dev_00440,0,1,0,0,1,0,0
dev_00441,0,0,0,0,0,1,1
dev_00442,1,0,1,1,0,0,0
dev_00443,1,1,1,1,0,0,0
dev_00444,0,0,1,0,1,0,0
dev_00445,0,0,0,1,1,0,0
dev_00446,1,1,0,1,0,0,0
dev_00447,1,0,1,1,1,0,0
dev_00448,1,1,0,0,0,0,0
dev_00449,0,0,0,0,0,1,1
dev_00450,0,1,0,0,0,0,0
dev_00451,0,0,1,0,0,0,1
dev_00452,0,1,0,0,0,1,1
dev_00453,0,0,0,0,1,0,0
dev_00454,1,0,1,0,1,1,0
dev_00455,1,1,1,1,0,0,1
dev_00456,1,1,0,1,0,0,1
dev_00457,1,0,1,1,0,0,0
dev_00458,1,0,0,1,0,0,0
dev_00459,1,0,0,1,1,0,0
dev_00460,0,1,0,0,0,0,0
dev_00461,1,0,0,0,0,0,0
dev_00462,1,1,0,1,0,0,0
dev_00463,1,0,0,1,0,0,0
dev_00464,1,0,0,0,0,0,0
dev_00465,1,0,0,1,0,0,0
dev_00466,1,0,1,1,1,0,0
dev_00467,1,0,0,1,0,0,0
dev_00468,1,1,1,0,1,0,0
dev_00469,0,0,0,0,1,0,0
dev_00470,1,1,0,0,1,0,1
dev_00471,0,1,1,0,0,0,0
dev_00472,1,0,1,0,0,1,0
dev_00473,1,0,0,0,0,1,0
dev_00474,1,0,0,0,1,1,0
dev_00475,1,0,0,0,0,1,0
dev_00476,0,0,0,0,0,1,0
dev_00477,1,1,1,1,1,0,0
dev_00478,1,0,1,0,0,0,0
dev_00479,1,1,1,1,0,0,0
dev_00480,0,0,1,1,0,1,0
dev_00481,1,1,0,1,0,0,1
dev_00482,1,1,1,1,1,1,0
dev_00483,1,1,0,1,1,0,1
dev_00484,1,0,1,0,0,0,0
dev_00485,1,0,1,1,0,0,0
dev_00486,1,0,0,0,1,0,1
dev_00487,0,1,0,0,0,0,1
dev_00488,0,0,0,0,0,1,0
dev_00489,0,1,0,0,0,0,0
dev_00490,0,1,1,0,0,1,1
dev_00491,0,0,1,0,0,1,0
dev_00492,1,1,1,0,0,0,0
dev_00493,1,1,1,0,0,0,0
dev_00494,1,0,0,1,0,0,0
dev_00495,1,0,1,0,0,0,0
dev_00496,0,0,0,0,0,1,1
dev_00497,1,1,1,1,0,1,1
dev_00498,1,1,1,1,1,0,0
dev_00499,1,0,1,0,0,1,0
dev_00500,0,0,1,1,0,1,0
dev_00501,1,1,1,1,0,1,0
dev_00502,0,0,0,0,0,0,1
dev_00503,1,0,1,1,0,1,0
dev_00504,1,1,1,1,0,0,0
dev_00505,1,0,0,0,0,1,0
dev_00506,1,0,1,0,0,1,0
dev_00507,1,0,0,1,0,0,1
dev_00508,1,1,0,1,0,0,1
dev_00509,0,1,0,0,0,0,0
dev_00510,1,1,1,0,0,0,0
dev_00511,0,1,1,0,1,0,0
dev_00512,1,1,1,0,0,1,1
dev_00513,0,1,1,1,0,1,1
dev_00514,0,1,0,0,0,0,1
dev_00515,1,1,0,1,1,1,0
dev_00516,1,1,1,1,0,0,0
dev_00517,0,1,0,0,0,0,0
dev_00518,1,1,1,1,1,0,0
dev_00519,1,1,1,1,1,0,0
dev_00520,1,1,0,0,0,0,0
dev_00521,0,1,0,1,0,0,1
dev_00522,1,0,1,0,0,0,0
dev_00523,1,0,1,0,0,1,0
dev_00524,0,0,1,0,0,1,1
dev_00525,1,1,0,0,0,0,1
dev_00526,0,1,0,1,0,0,1
dev_00527,1,0,1,1,0,0,0
dev_00528,0,0,0,0,1,0,0
dev_00529,1,1,1,1,1,0,0
dev_00530,0,1,0,0,0,0,0
dev_00531,0,0,1,0,0,1,1
dev_00532,1,1,1,1,1,0,0
dev_00533,1,1,1,0,0,0,0
dev_00534,1,0,0,1,1,0,0
dev_00535,1,0,1,0,1,1,1
dev_00536,0,1,1,0,0,1,0
dev_00537,1,0,1,1,0,1,0
dev_00538,1,0,0,0,1,0,0
dev_00539,1,1,1,1,1,0,0
dev_00540,1,0,1,1,0,1,0
dev_00541,1,0,1,1,1,0,0
dev_00542,0,0,1,1,0,0,0
dev_00543,1,0,1,1,0,1,0
dev_00544,0,1,1,0,0,0,0
dev_00545,0,0,1,0,0,0,0
dev_00546,1,1,1,1,1,1,0
dev_00547,1,0,0,0,0,0,0
dev_00548,1,0,0,0,0,0,1
dev_00549,1,0,0,0,0,1,0
dev_00550,1,1,1,0,1,0,0
dev_00551,1,0,1,1,0,1,0
dev_00552,1,1,0,1,0,1,0
dev_00553,0,0,1,0,0,0,0
dev_00554,0,1,1,0,1,0,0
dev_00555,0,0,0,1,1,0,0
dev_00556,0,0,1,0,0,0,0
dev_00557,1,1,1,1,1,0,0
dev_00558,1,1,1,1,1,0,0
dev_00559,1,1,0,0,0,0,0
dev_00560,1,0,1,1,0,1,0
dev_00561,1,0,1,1,1,1,0
dev_00562,1,1,0,1,0,0,1
dev_00563,1,0,1,1,0,1,0
dev_00564,0,1,0,0,0,0,0
dev_00565,1,1,1,1,0,1,0
dev_00566,1,0,0,1,0,0,0
dev_00567,0,1,0,0,0,0,1
dev_00568,0,1,1,0,0,0,0
dev_00569,1,1,1,0,1,1,0
dev_00570,1,1,1,1,0,0,0
dev_00571,0,0,0,0,1,0,1
dev_00572,1,0,0,1,0,1,0
dev_00573,1,0,0,0,1,0,0
dev_00574,0,0,1,0,0,0,0
dev_00575,1,1,1,1,0,0,0
dev_00576,0,1,1,0,0,0,0
dev_00577,1,0,1,1,0,0,0
dev_00578,1,1,1,0,0,1,0
dev_00579,1,1,1,1,1,0,0
dev_00580,0,1,1,0,0,0,0
dev_00581,1,1,0,0,0,1,0
dev_00582,1,1,1,0,0,0,0
dev_00583,1,1,1,0,1,1,1
dev_00584,0,0,0,0,0,0,1
dev_00585,0,1,0,0,0,0,1
dev_00586,1,0,0,0,0,0,0
dev_00587,0,1,0,0,0,0,0
dev_00588,0,0,0,0,0,1,0
dev_00589,1,0,1,1,1,1,1
dev_00590,1,1,1,0,0,0,0
dev_00591,0,1,0,0,0,0,1
dev_00592,1,1,0,0,0,1,0
dev_00593,0,1,0,0,0,0,0
dev_00594,0,1,1,0,0,0,0
dev_00595,0,1,0,0,1,0,0
dev_00596,0,0,1,0,0,0,1
dev_00597,1,0,0,0,0,0,0
dev_00598,1,0,0,1,0,0,0
dev_00599,1,0,1,1,0,0,0
dev_00600,1,1,0,0,1,0,1
dev_00601,1,0,0,1,1,0,0
dev_00602,0,1,0,0,0,0,1
dev_00603,1,1,0,0,0,0,1
dev_00604,0,1,1,0,1,0,1
dev_00605,1,1,0,0,1,0,0
dev_00606,1,1,0,1,0,1,1
dev_00607,1,1,1,0,1,0,1
dev_00608,1,1,1,1,1,1,1
dev_00609,1,1,0,0,0,0,0
dev_00610,0,0,0,1,0,1,0
dev_00611,1,0,1,1,0,1,0
dev_00612,0,0,1,0,0,0,0
dev_00613,1,0,1,0,1,0,0
dev_00614,1,0,1,1,0,1,0
dev_00615,0,0,1,0,0,1,0
dev_00616,1,0,1,1,1,0,0
dev_00617,0,1,1,0,0,0,0
dev_00618,0,1,0,0,0,0,0
dev_00619,1,1,1,1,1,1,0
dev_00620,1,1,1,1,1,0,0
dev_00621,0,0,1,0,0,0,0
dev_00622,1,0,1,1,0,1,0
dev_00623,1,1,0,0,0,0,0
dev_00624,1,1,0,0,0,1,0
dev_00625,0,0,1,0,0,0,0
dev_00626,0,0,1,0,0,1,0
dev_00627,1,1,1,1,1,0,0
dev_00628,1,1,1,1,0,1,0
dev_00629,0,0,0,0,0,1,0
dev_00630,1,1,0,1,0,0,0
dev_00631,1,0,1,0,0,0,0
dev_00632,1,1,1,1,1,0,1
dev_00633,1,1,1,0,1,1,1
dev_00634,1,1,1,1,0,0,0
dev_00635,1,0,1,1,1,0,0
dev_00636,0,0,1,0,0,1,1
dev_00637,1,1,1,0,0,0,0
dev_00638,1,1,1,0,1,0,1
dev_00639,1,0,0,1,0,1,0
dev_00640,0,1,0,0,0,0,0
dev_00641,1,0,1,1,1,1,0
dev_00642,1,0,1,0,0,1,0
dev_00643,1,0,0,1,1,1,0
dev_00644,1,0,1,1,0,0,0
dev_00645,1,1,0,1,0,0,0
dev_00646,0,1,0,0,0,0,1
dev_00647,1,1,0,1,0,0,0
dev_00648,1,0,1,1,0,1,0
dev_00649,0,0,1,1,0,1,0
dev_00650,0,0,1,0,0,1,1
dev_00651,0,1,0,0,0,0,0
dev_00652,0,1,0,0,0,0,0
dev_00653,1,0,0,1,1,0,0
dev_00654,1,0,1,1,0,0,0
dev_00655,1,0,1,1,1,1,0
dev_00656,0,0,1,0,0,1,0
dev_00657,0,1,0,0,0,0,0
dev_00658,0,0,0,0,1,0,0
dev_00659,1,1,1,1,0,0,0
dev_00660,1,1,1,0,1,1,1
dev_00661,0,1,0,0,0,0,0
dev_00662,1,0,1,0,0,1,0
dev_00663,1,0,0,0,0,1,0
dev_00664,1,1,0,1,0,0,1
dev_00665,1,1,1,0,0,0,0
dev_00666,0,0,1,0,0,0,0
dev_00667,1,0,1,1,0,0,0
dev_00668,0,1,0,0,0,1,0
dev_00669,0,1,0,0,0,0,0
dev_00670,1,1,0,0,0,0,0
dev_00671,1,0,1,1,1,0,1
dev_00672,0,1,0,0,0,1,0
dev_00673,1,0,1,1,0,0,0
dev_00674,0,1,0,1,0,0,1
dev_00675,0,1,1,0,0,0,0
dev_00676,1,0,0,1,0,0,0
dev_00677,1,1,1,0,0,0,0
dev_00678,1,1,0,1,0,0,0
dev_00679,1,0,0,1,0,0,0
dev_00680,1,1,1,1,0,0,1
dev_00681,1,0,1,1,0,1,0
dev_00682,0,1,0,0,0,0,0
dev_00683,0,1,1,0,0,0,1
dev_00684,1,0,1,1,0,0,0
dev_00685,1,0,0,1,0,0,1
dev_00686,1,0,1,0,0,1,0
dev_00687,0,1,0,0,0,0,1
dev_00688,1,0,1,1,0,0,0
dev_00689,0,0,0,0,1,0,0
dev_00690,0,0,0,0,0,1,0
dev_00691,0,0,0,1,0,0,0
dev_00692,1,1,0,1,0,1,1
dev_00693,1,0,1,0,0,0,0
dev_00694,1,1,1,0,0,0,1
dev_00695,1,1,1,1,1,0,0
dev_00696,0,1,0,0,0,1,1
dev_00697,1,0,0,1,1,0,0
